模版名称,药材
补中益气汤,黄芪 15g|党参 10g|白术 10g|当归 8g|陈皮 6g|升麻 3g|柴胡 3g|甘草 5g
四君子汤,党参 12g|白术 12g|茯苓 12g|甘草 6g
四物汤,当归 12g|川芎 10g|白芍 12g|熟地黄 15g
六味地黄汤,熟地黄 20g|山茱萸 10g|山药 12g|泽泻 10g|牡丹皮 10g|茯苓 10g
桂枝汤,桂枝 10g|白芍 10g|甘草 6g|生姜 9g|大枣 12g
小柴胡汤,柴胡 15g|黄芩 10g|党参 10g|半夏 10g|甘草 6g|生姜 9g|大枣 12g
麻黄汤,麻黄 9g|桂枝 6g|杏仁 9g|甘草 3g
银翘散,金银花 15g|连翘 15g|桔梗 10g|牛蒡子 10g|薄荷 6g|甘草 5g
逍遥散,柴胡 10g|当归 10g|白芍 10g|白术 10g|茯苓 10g|甘草 6g
半夏泻心汤,半夏 12g|黄芩 10g|干姜 10g|党参 10g|甘草 6g|黄连 3g|大枣 10g
