模版名称,药材
半夏泻心汤,半夏 10.0g|黄芩 9.0g|干姜 9.0g|人参 9.0g|甘草 9.0g|黄连 3.0g|大枣 12.0g
十枣汤,芫花 3.0g|甘遂 3.0g|大戟 3.0g
大黄黄连泻心汤,大黄 6.0g|黄连 3.0g
附子泻心汤,大黄 6.0g|黄连 3.0g|黄芩 3.0g|附子 9.0g
生姜泻心汤,生姜 12.0g|甘草 9.0g|人参 9.0g|干姜 3.0g|黄芩 9.0g|半夏 10.0g|黄连 3.0g|大枣 12.0g
甘草泻心汤,甘草 12.0g|黄芩 9.0g|干姜 9.0g|半夏 10.0g|大枣 12.0g|黄连 3.0g
赤石脂禹余粮汤,赤石脂 48.0g|禹余粮 48.0g
旋覆代赭汤,旋覆花 9.0g|人参 6.0g|生姜 15.0g|代赭石 3.0g|甘草 9.0g|半夏 10.0g|大枣 12.0g
桂枝人参汤,桂枝 12.0g|甘草 12.0g|白术 9.0g|人参 9.0g|干姜 9.0g
瓜蒂散,瓜蒂 3.0g|赤小豆 3.0g
黄芩汤,黄芩 9.0g|白芍 6.0g|甘草 6.0g|大枣 12.0g
黄芩加半夏生姜汤,黄芩 9.0g|白芍 6.0g|甘草 6.0g|大枣 12.0g|半夏 10.0g|生姜 3.0g
黄连汤,黄连 9.0g|甘草 9.0g|干姜 9.0g|桂枝 9.0g|人参 6.0g|半夏 10.0g|大枣 12.0g
桂枝附子汤,桂枝 12.0g|附子 27.0g|生姜 9.0g|大枣 12.0g|甘草 6.0g
去桂加白术汤,附子 27.0g|白术 12.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g
甘草附子汤,甘草 6.0g|附子 18.0g|白术 6.0g|桂枝 12.0g
白虎汤,知母 18.0g|石膏 48.0g|甘草 6.0g|粳米 30.0g
炙甘草汤,甘草 12.0g|生姜 9.0g|人参 6.0g|生地黄 48.0g|桂枝 9.0g|阿胶 6.0g|麦冬 15.0g|麻仁 12.5g|大枣 30.0g
大承气汤,大黄 12.0g|厚朴 24.0g|枳实 25.0g|芒硝 9.0g
小承气汤,大黄 12.0g|厚朴 6.0g|枳实 15.0g
猪苓汤,猪苓 3.0g|茯苓 3.0g|泽泻 3.0g|阿胶 3.0g|滑石 3.0g
蜜煎方针,蜂蜜 17.5g
茵陈蒿汤,茵陈 18.0g|栀子 42.0g|大黄 6.0g
吴茱萸汤,吴茱萸 30.0g|人参 9.0g|生姜 18.0g|大枣 12.0g
麻子仁丸,麻子仁 60.0g|白芍 24.0g|枳实 24.0g|大黄 48.0g|厚朴 48.0g|杏仁 48.0g
栀子柏皮汤,栀子 45.0g|甘草 3.0g|黄柏 6.0g
麻黄连轺赤小豆汤,麻黄 6.0g|连翘 6.0g|杏仁 16.0g|赤小豆 40.0g|大枣 12.0g|梓白皮 25.0g|生姜 6.0g|甘草 6.0g
桂枝加芍药汤,桂枝 9.0g|白芍 18.0g|甘草 6.0g|大枣 12.0g|生姜 9.0g
桂枝加大黄汤,桂枝 9.0g|大黄 6.0g|白芍 18.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g
麻黄细辛附子汤,麻黄 6.0g|细辛 6.0g|附子 9.0g
麻黄附子甘草汤,麻黄 6.0g|甘草 6.0g|附子 9.0g
黄连阿胶汤,黄连 12.0g|黄芩 3.0g|白芍 6.0g|鸡子黄 100.0g|阿胶 9.0g
附子汤,附子 18.0g|茯苓 9.0g|人参 6.0g|白术 12.0g|白芍 9.0g
